[# ERROR | 2023-07-28 | 23:11:41.061 | PID=15668 | ThreadId=8184 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.619 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.728 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.823 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.931 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.024 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.117 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.226 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.319 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.428 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.521 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.629 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.722 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.818 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:29.927 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.019 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.128 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.220 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.328 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.420 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.528 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.623 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.731 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.825 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:30.918 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.027 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.120 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.230 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.325 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.432 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.525 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.618 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.727 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.821 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:31.929 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.023 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.117 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.226 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.319 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.429 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.523 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.631 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.724 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.817 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:32.927 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.019 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.126 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.220 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.329 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.424 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.532 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.625 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.718 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.825 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:33.920 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.029 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.121 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.230 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.324 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.417 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.527 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.621 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.730 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.823 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:34.932 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.026 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.119 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.227 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.321 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.429 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.521 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.629 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.721 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.830 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:35.924 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.017 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.128 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.223 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.331 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.426 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.519 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.628 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.722 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.832 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:36.925 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:37.019 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:37.129 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:37.220 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:37.328 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.313 | PID=15668 | ThreadId=5604 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.371 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.477 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.586 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.680 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.774 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.883 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:20.976 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.085 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.178 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.272 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.380 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.472 | PID=15668 | ThreadId=16872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.521 | PID=15668 | ThreadId=5604 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.552 | PID=15668 | ThreadId=8656 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.592 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.708 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.805 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.900 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:21.996 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.109 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.204 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.299 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.406 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.500 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.609 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.701 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.796 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.903 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:22.997 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.105 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.199 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.307 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.401 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.493 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.602 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.696 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:58:23.806 | PID=15668 | ThreadId=9552 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
